,ID,theta,distance,az1[deg]_sensor,el1[deg]_sensor,az2[deg]_sensor,el2[deg]_sensor,az3[deg]_sensor,el3[deg]_sensor,az4[deg]_sensor,el4[deg]_sensor
0,571226_095,4.41276130647166,0.11378701932564515,237.763038509059,29.085581520277803,237.4722569041102,28.815918127833456,236.92159578729195,29.26583639670359,237.21207701288714,29.53771160506052
1,571311_057,0.4792045619483957,0.052972713037313296,234.0136105441898,26.684492890267634,233.7389013948084,26.405145404974743,233.18378705078408,26.839692538143254,233.45785470293274,27.11977301538491
2,571314_058,15.512772412929866,2.3887821278296806,235.83058371815855,28.469995990711446,235.54581599218372,28.196178641738495,234.99055550165207,28.638924071157316,235.27494155569656,28.91467027934329
3,571332_057,0.7843006622738931,0.04716298020450836,236.40075266419183,25.82799637149329,236.121960943331,25.55378361426082,235.58139297557776,25.999163480791662,235.85969456020123,26.273552102774094
4,571342_058,2.4663110153338854,0.030991829642552864,237.2803947304952,25.090086291767904,237.00302993231577,24.818093797645037,236.46764573278895,25.263953968390126,236.74483621932706,25.5376694212138
5,571913_111,0.24466978995240926,0.09189557985186687,235.22252263794584,27.877085642390327,234.94146877933608,27.601029037433893,234.38589241665602,28.04116047039176,234.66655329850005,28.31834502570641
6,572125_014,2.1393080068884744,0.000528392526858033,236.48865924701806,29.033391372716743,236.20159332024338,28.76049884276162,235.64519685525912,29.205342241028898,235.9325601970117,29.480048510364476
7,572126_014,43.96196625618283,0.7892959292808082,237.11659975714505,29.623078933683797,236.82656593229342,29.35046121609898,236.26906442919994,29.798340146870302,236.55930250095483,30.071570613576945
8,572211_063,0.49651869910294,0.14798063301489822,233.3679119946676,27.198369973592147,233.09476539209476,26.917433837345634,232.53343465922808,27.34809502072711,232.80604596417703,27.629660431908793
9,572311_102,1.9467142897986445,0.08402386924822966,233.58508956240317,27.026094308125707,233.3125879183627,26.74660644683866,232.75315841967642,27.17818798690116,233.02655540848363,27.45952449998707
10,572414_094,0.8281403833583779,0.02721277186087933,235.61905053937122,28.64424436182514,235.33483364821802,28.36915860390103,234.7775000883494,28.811128031267184,235.06163802928404,29.087623203251887
11,572421_095,1.6451752548305385,0.017092183516343038,234.70495786008928,26.13389142610625,234.4286648016825,25.856998631786173,233.8815670009808,26.296960622151126,234.15680473160205,26.57413467692672
12,572514_006,1.5383036798220602,0.045949757300996284,235.8381725494496,28.467725823909046,235.55367117514152,28.193641273210044,234.99865808812095,28.63672304498024,235.2825134521866,28.91183595868876
13,572514_006,1.5398751674072406,0.009231335355413905,235.8381725494496,28.467725823909046,235.55367117514152,28.193641273210044,234.99865808812095,28.63672304498024,235.2825134521866,28.91183595868876
14,572524_007,2.100890776582146,0.015793924330239968,236.74187021929197,27.73459003525554,236.45712187308007,27.46266984081358,235.90881651467046,27.90849076662206,236.19270910504176,28.183037752627314
15,572524_007,0.9772880706470072,0.04353293524530685,236.74187021929197,27.73459003525554,236.45712187308007,27.46266984081358,235.90881651467046,27.90849076662206,236.19270910504176,28.183037752627314
16,572534_007,0.1000030622457553,0.012969808487446348,237.63141016738015,26.997875533417957,237.3475222558709,26.72654146889131,236.80523222093524,27.1763848863062,237.08919806146582,27.448426995847207
17,572534_007,2.9781757849854595,0.0600851779829535,237.63141016738015,26.997875533417957,237.3475222558709,26.72654146889131,236.80523222093524,27.1763848863062,237.08919806146582,27.448426995847207
18,572622_107,1.588632065183829,0.04845329550944026,234.43859566339358,27.429212412832694,234.16160395818042,27.15219958132463,233.60522703032677,27.590289070661377,233.8844954743215,27.86800886073161
19,572631_108,0.7894518342363587,0.07582195230299725,234.74560128098025,26.1135581216581,234.47140620170472,25.835750461229924,233.9210858649877,26.271955021116863,234.19471816393363,26.551563910675032
20,573712_037,0.6810955688329855,0.07228282247833234,234.62012635626297,27.284304700483816,234.34115914464329,27.00747787812596,233.78760195710902,27.44596946282478,234.06497706149307,27.723923024413363
21,573834_083,43.67739316967473,2.3134239283961398,236.56253281090568,27.900705997313228,236.28008499345663,27.62566374371405,235.72733542746298,28.068975565954663,236.01123503411236,28.344351401587872
22,574216_031,0.4197455893960455,0.0521146472959381,236.86239840378343,29.828609258067928,236.57149639891546,29.556414169798707,236.01315825415224,30.003447035113,236.3029889908379,30.27718532575963
23,574413_083,1.7841431591319037,0.03732609036889367,234.13180525810702,28.75152457543438,233.8514116548506,28.47300751224984,233.28512063206404,28.906526385841236,233.56430150620096,29.187297863654802
24,574422_084,1.1301540938136756,0.07707945312985641,234.4436472768347,27.43136200054761,234.16459345991947,27.154441904010945,233.60983134192563,27.59255757124241,233.88777082092503,27.870612210603728
25,574431_084,1.3433448419127083,0.109739359278729,234.75038391622132,26.116117563013045,234.47651327452007,25.838958809597212,233.9261954433947,26.27497038291951,234.19955303564234,26.553917602902573
26,574511_068,0.41324973561585737,0.08855088439154815,233.15128735756898,27.374285693670508,232.8794349761039,27.093171857450617,232.31514561086715,27.522346530411813,232.58809627559253,27.805241778929737
27,574511_069,1.6434612965373196,0.09525771082886494,233.15137865558876,27.374312299187732,232.87949336129535,27.093012306150182,232.31561607993535,27.522528631202835,232.58798253078749,27.80508258416848
28,574511_070,1.2140006325954324,0.09949704325872938,233.15147682602654,27.37442465331621,232.87933634875554,27.093111533132397,232.31565864400562,27.52254670446769,232.5881669439916,27.805171566839768
29,574521_069,0.3657305466008646,0.10731617561892172,234.06304886029176,26.659818905726826,233.78749409731856,26.381416442226865,233.2346608787175,26.817294955056607,233.50834394330207,27.097136590075355
30,574521_070,0.2615658787638135,0.10969495485872016,234.06326186973095,26.659703826977783,233.78766242339435,26.38143761317569,233.23468377990582,26.81717957052433,233.5085028888694,27.096675134565164
31,574534_069,54.34795220427048,2.178732440992999,236.78127952668913,27.721456465431793,236.49792101331192,27.44766485864267,235.94775547415827,27.89264076087757,236.2311398291642,28.167118465556584
32,574542_069,0.6077045270121282,0.09702625442177568,236.45686161823937,25.808850593346477,236.17932757317442,25.533593495740547,235.63649481510947,25.975376800886167,235.91300043611463,26.251913139579937
33,574932_008,28.597539643881394,1.7466153773490192,236.41241254694518,25.83195035014068,236.1329666512349,25.558350303522975,235.59263206274804,26.002791505258294,235.87053701071767,26.277770961056717
34,575431_053,2.1753462673401667,0.05558422524344543,235.60070686886402,25.41650112994238,235.32616880628422,25.139776705952556,234.78271992947958,25.582990751830586,235.05841986203262,25.8570629624404
35,575441_054,2.1575785892255777,0.019852224209727244,236.48267156946542,24.68805089209314,236.20653605987673,24.413019393874187,235.67103529829376,24.85893006106692,235.94646747634565,25.133378193776885
36,575516_115,10.377798814534037,3.030100752807892,237.08648182965513,29.650417593358394,236.79554779399393,29.379272955064533,236.23890230141018,29.827145628761784,236.52967106603464,30.100361692861696
37,575526_116,9.791741686795511,3.2200131229472015,237.9912406899601,28.910532549558305,237.70025079873142,28.640198344435294,237.151577108135,29.092434771417576,237.44227104582808,29.363146499415986
38,575913_115,15.222547559327516,0.7016437991507636,234.7938466201518,28.234013409269764,234.51352161000938,27.95621453295034,233.95417365592857,28.39385216716669,234.23354547051682,28.672487415903305
39,575923_115,14.580624484714663,0.9908238720648244,235.70114989754111,27.507040917355948,235.41990255934502,27.23180423165159,234.86796669471516,27.673865287551894,235.1487237917749,27.95001816585718
40,576013_041,0.27290049798093513,0.15401953313098488,235.01370266233195,28.05899746252984,234.73289066175403,27.78182479215825,234.17524044432642,28.220731251157584,234.45568997802974,28.498387187994517
41,576022_041,0.07286443858626095,0.1456864260841077,235.30977017121353,26.736434757822686,235.0306769454967,26.461751426370096,234.48285356288105,26.90456428755303,234.7630800389196,27.18010097204057
42,576031_041,0.3503994530433993,0.13747594811473374,235.60144465528663,25.417958318724384,235.32607484210476,25.142472879150358,234.783459269312,25.583874105026858,235.05854649376718,25.86013521943867
43,576526_116,39.333481107422315,4.822889588598379,237.5606846233433,29.27224862892177,237.27012502325627,29.00136375202497,236.71703961168478,29.450724062387973,237.00718342965968,29.72317081044623
44,576712_067,1.5103471145198273,0.07443066140642271,234.62751275339448,27.28720077413859,234.34887081526938,27.010297579230283,233.79510953016194,27.448223767022757,234.07283903576553,27.726493334646012
45,576722_067,2.3359898636633805,0.034982054229892215,235.52709285317047,26.56014497731002,235.24718469819598,26.28569047432149,234.70194325061144,26.73005505402689,234.98196101962165,27.004979068303072
46,577044_018,3.0227277707542615,0.06999075577376586,237.88188235401816,26.811446078392063,237.59742459789447,26.540108769763993,237.05726105626997,26.99054153022701,237.34113751128473,27.26222517615086
47,577044_019,3.6139873607256416,0.08183298319293811,237.88194511657164,26.81158013834419,237.5976906098877,26.54017634562367,237.05726484202572,26.990309225572314,237.34155178488726,27.26217824648502
48,577414_032,3.1509534404047614,1.7912599690570268,234.74094073040712,29.356507967149884,234.45754259714985,29.078785322035255,233.8918324480777,29.51624270440561,234.17450824875388,29.79454088678235
49,577414_032,0.6632925958873697,0.04136751811093492,234.74094073040712,29.356507967149884,234.45754259714985,29.078785322035255,233.8918324480777,29.51624270440561,234.17450824875388,29.79454088678235
50,577523_013,67.19914043666773,1.3304362221917052,235.26903009121003,27.862186925784965,234.98840477645498,27.585622212252037,234.43305648408472,28.025142163792868,234.7120976983379,28.301534887737468
