,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],X,Y,x_1,x_2,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso,exposure_starting_time_tomoe,year_tomoe,month_tomoe,day_tomoe,hh[UT]_tomoe,mm_tomoe,ss_tomoe,ra1[deg],dec1[deg],ra2[deg],dec2[deg],az1[deg],el1[deg],az2[deg],el2[deg],az_middle[deg],el_middle[deg],az3[deg]_mu_at_kiso,el3[deg]_mu_at_kiso,az4[deg]_mu_at_kiso,el4[deg]_mu_at_kiso,az_intersection,el_intersection,distance_modified,vector_az,vector_el,theta,az3[deg]_tomoe,el3[deg]_tomoe,az4[deg]_tomoe,el4[deg]_tomoe,az1_intersection_tomoe,el1_intersection_tomoe,az2_intersection_tomoe,el2_intersection_tomoe,az1_intersection_mu,el1_intersection_mu,az2_intersection_mu,el2_intersection_mu,percentage,Event_Number,MJD,Begining_time_of_the_event_YYYY,MM,DD,hh,mm,ss.ssssss,Duratin[s],Radiant(Right_Ascension),Radiant(Declination),Radiant(Azimuth),Radiant(Zenith),Radiant(Azimuth)_uncorrected,Radiant(Zenith)_uncorrected,Zenith_angle_correction,Initial_velocity(observed)[km/s],Initial_velocity(geocentric)[km/s],RCS[dBsm]at_max_SNR,SNR_max[dB],Beginning_height[km],End height [km],Azimuth of meteor start point,Zenith of meteor start point,Azimuth of meteor end point,Zenith of meteor end point,6 parameters for orbit,6 parameters for orbit.1,6 parameters for orbit.2,6 parameters for orbit.3,6 parameters for orbit.4,6 parameters for orbit.5,Period [yr],Heliocentric velocity [km/s],Radiant (ecliptic longitude),Radiant (ecliptic latitude),Solar longitude,RA error,dec error,az error,ze error,velocity error,a error,e error,q error,i error,omega error,P error,heliocentric velocity error,radiant (ecliptic longitude),radiant (ecliptic latitude),Hammer X,Hammer Y,Time from perihelion [days],x_start[km],y_start[km],z_start[km],x_end[km],y_end[km],z_end[km],incidence_angle[deg]
262,262,262,262,588824_036,53.0,14,34,19.0131,-7,2,57.213,268,55,262,276,2018-04-18T18:42:58.125,2018,4,19,3,42,58.12496,0.30264,93.820683,91.045467,32.491612,69.440999,25.913785,56,95,232.254092,28.007291,193979.5153,231.490786,26.322702000000003,198743.2619,2018-04-18T18:42:40.776872,2018.0,4.0,18.0,18.0,42.0,40.776872,218.57125989559572,-7.043208339187343,218.5898362128936,-7.057249869536469,235.29452320408947,28.802460929142608,235.32087127789842,28.800471224597274,235.30769724099392,28.801466076869946,229.98523279217773,23.0,236.78189951622738,38.0,233.072789710078,29.81412751998355,2.4536289185844318,-2.2349075309159616,1.012661443113604,69.94275022802493,226.0,29.50434734406718,242.0,28.296089277224976,229.54014832130818,29.23700904612728,224.1628220609597,29.643083910634065,233.07091966892247,29.810000406139178,233.07465975123344,29.81825463382793,0.0,1000662.0,58226.779838999995,2018.0,4.0,19.0,18.0,42.0,58.124959999999994,0.30264,18.352832,56.34646800000001,31.725553,73.361377,32.491611999999996,69.440999,4.080512000000001,25.913785,23.19697,-24.317982999999998,15.76636,93.820683,91.045467,86.342851,3.4173699999999996,164.16087,3.80459,13.088915,0.936371,0.83283,28.431119,25.44789,130.32358,47.353867,41.020266,43.04005,43.973675,28.431119,3.6230919999999998,2.034597,1.7157689999999999,0.809117,0.989367,38.759403999999996,0.097457,0.017643,1.6924240000000002,5.927711,63.510604,0.989367,3.6230919999999998,2.034597,-1.339252,0.817891,31.338054,0.3573620783922926,5.591110607305176,93.820683,-5.82467855383654,1.652515200297341,91.045467,69.26302349254338
263,263,263,263,588824_074,85.0,14,34,43.545,-7,6,51.682,345,104,334,357,2018-04-18T18:43:17.232,2018,4,19,3,43,17.23184,0.20904,108.277853,99.432158,143.025667,50.386597,67.377794,29,64,231.783503,30.841901,205608.826,235.309021,28.722529,200950.2572,2018-04-18T18:42:40.776872,2018.0,4.0,18.0,18.0,42.0,40.776872,218.6667922142072,-7.1130047961658525,218.6974145442746,-7.115829895195889,235.15933391998715,28.830719597763878,235.1872141220964,28.812425661049666,235.1732740210417,28.82157262940677,226.0,34.31866507271664,242.0,24.70023396557161,235.16557337750197,28.808762817155102,0.014946277156883785,-0.007700643539834574,-0.012809812251660445,2.2591119996701363,226.0,34.84072893772248,242.0,24.342132611902255,231.87140970037498,30.98813141848856,235.31331977223653,28.729679891347974,235.15129465546562,28.81734649866786,235.17985209953812,28.80017913564237,100.0,1000663.0,58226.780061000005,2018.0,4.0,19.0,18.0,43.0,17.23184,0.20904,291.61839,-8.430242999999999,143.368955,50.631528,143.025667,50.386596999999995,0.371422,67.377794,66.27584399999999,-24.296906,21.762815,108.27785300000001,99.432158,144.834246,2.47285,321.65767900000003,3.5555849999999998,3.094974,0.687804,0.9662379999999999,28.431334999999997,156.007981,204.87278999999998,5.444844,38.287293,291.999371,13.371037,28.431334999999997,0.37682,0.305421,0.439538,0.15195699999999998,0.213209,0.21036999999999997,0.022359,0.005377000000000001,0.49615600000000004,3.860781,0.556424,0.213209,0.37682,0.305421,0.11435999999999999,0.232935,-18.933962,-3.8226683707264115,2.693175533681788,108.27785300000001,4.845802124672706,-3.832799063819391,99.432158,50.811602687584745
264,264,264,264,588915_011,117.5,14,37,22.4281,-6,11,52.28100000000001,21,13,8,36,2018-04-18T18:43:48.915,2018,4,19,3,43,48.91544,0.20592,112.742936,103.114377,101.482029,25.400253,51.1013,43,62,234.355729,32.22207,206175.0155,235.443958,29.490321,203599.466,2018-04-18T18:43:43.655159,2018.0,4.0,18.0,18.0,43.0,43.65515900000001,219.32615350001961,-6.206716011617504,219.3634079243414,-6.1876320194238685,235.5340793760915,29.78739394353243,235.5508591058496,29.748358544638986,235.54246924097055,29.767876244085702,232.0540127786451,38.0,238.0294647692929,23.0,235.3620253886052,29.69599400563127,0.19423449760961986,-0.1804438523653289,-0.07188223845443886,1.5403708403113134,232.00381417722858,38.0,238.45170387495025,23.0,234.4682440874035,32.26689190020021,235.6299326096702,29.564406490104265,235.35416605790473,29.715723050512217,235.36988471930567,29.676264960750323,100.0,1000664.0,58226.780427,2018.0,4.0,19.0,18.0,43.0,48.915440000000004,0.20592,291.850481,26.452713,101.689166,25.323391,101.482029,25.400253,0.308657,51.1013,49.716018,-5.7158489999999995,29.199037,112.74293600000001,103.114377,354.380809,1.924131,314.158237,3.717337,2.294455,0.563004,1.002669,28.431694,95.96188599999999,174.73296000000002,3.475517,36.971299,299.655576,47.665197,28.431694,0.617685,0.462582,0.646071,0.469846,0.19835899999999998,0.19050599999999998,0.035789999999999995,0.001231,0.738909,4.32935,0.43424300000000005,0.19835899999999998,0.617685,0.462582,-0.012362999999999999,0.808146,4.295955,3.7694039985832366,-0.3708680208166206,112.74293600000001,4.667113611023735,-4.806302660389666,103.114377,25.17326178707412
265,265,265,265,588925_011,119.0,14,35,11.1456,-6,29,37.432,428,238,375,487,2018-04-18T18:43:48.915,2018,4,19,3,43,48.91544,0.20592,112.742936,103.114377,101.482029,25.400253,51.1013,43,62,234.355729,32.22207,206175.0155,235.443958,29.490321,203599.466,2018-04-18T18:43:43.655159,2018.0,4.0,18.0,18.0,43.0,43.65515900000001,218.7258688028257,-6.5322621254904965,218.8749728044523,-6.4508395798070985,235.7426471459525,29.265836949109612,235.80490687187648,29.105765222883967,235.77377700891446,29.185801085996793,232.0540127786451,38.0,238.0294647692929,23.0,235.59382483925395,29.11411471596881,0.19370523744427887,-0.17995216966059502,-0.07168637002798306,0.4670373087427501,232.34550381186213,38.0,238.17973769488552,23.0,234.5610157271696,32.303848732167964,235.62697682244902,29.563229012461942,235.56204467411342,29.19389152245184,235.62560500439437,29.034337909485775,0.0,1000664.0,58226.780427,2018.0,4.0,19.0,18.0,43.0,48.915440000000004,0.20592,291.850481,26.452713,101.689166,25.323391,101.482029,25.400253,0.308657,51.1013,49.716018,-5.7158489999999995,29.199037,112.74293600000001,103.114377,354.380809,1.924131,314.158237,3.717337,2.294455,0.563004,1.002669,28.431694,95.96188599999999,174.73296000000002,3.475517,36.971299,299.655576,47.665197,28.431694,0.617685,0.462582,0.646071,0.469846,0.19835899999999998,0.19050599999999998,0.035789999999999995,0.001231,0.738909,4.32935,0.43424300000000005,0.19835899999999998,0.617685,0.462582,-0.012362999999999999,0.808146,4.295955,3.7694039985832366,-0.3708680208166206,112.74293600000001,4.667113611023735,-4.806302660389666,103.114377,25.17326178707412
266,266,266,266,588925_104,86.5,14,33,29.9308,-6,31,54.073,111,268,37,188,2018-04-18T18:44:35.637,2018,4,19,3,44,35.63744000000001,0.23712,109.195768,100.164345,129.140563,55.766508,67.300576,34,74,231.815719,31.48337,203740.3151,236.079459,28.832486,201744.9832,2018-04-18T18:43:43.655159,2018.0,4.0,18.0,18.0,43.0,43.65515900000001,218.27624925752568,-6.525219921503902,218.4771341669004,-6.538379243707312,236.00840437666764,28.93418648433125,236.18619926788242,28.808629709357852,236.097301822275,28.87140809684455,226.0,35.09916187417528,242.0,25.15152341592028,236.07487486309608,28.835336083535207,0.042475388664512934,-0.02242695917891524,-0.03607201330933306,3.358964140872432,226.0,36.00201035473728,242.0,24.70298828583193,231.9935649978637,31.769421405844746,236.10171868139577,28.868288960052013,235.98261064322202,28.892699277406468,236.16713908297024,28.777972889663893,52.48424411441897,1000667.0,58226.78096799999,2018.0,4.0,19.0,18.0,44.0,35.637440000000005,0.23711999999999997,304.325948,-6.473396,129.393733,56.041405000000005,129.140563,55.766507999999995,0.419461,67.300576,66.12771,-29.182927000000003,14.196745000000002,109.19576799999999,100.164345,112.30959399999999,2.727954,319.25980400000003,4.897785,3.072531,0.690592,0.950666,28.432222999999997,156.798362,150.40096,5.385729,38.260191,305.083524,12.881496,28.432222999999997,0.3404,0.33867800000000003,0.294099,0.22852399999999998,0.387315,0.385909,0.037944,0.006802,0.6583939999999999,4.579318,1.022209,0.387315,0.3404,0.33867800000000003,-0.109421,0.22444299999999998,22.215598999999997,-1.9750924701707488,4.813477095206804,109.19576799999999,6.503300085670865,-5.601663157880786,100.164345,56.07942209907652
267,267,267,267,588934_011,119.0,14,30,5.4832,-7,10,48.419,293,160,129,438,2018-04-18T18:43:48.915,2018,4,19,3,43,48.91544,0.20592,112.742936,103.114377,101.482029,25.400253,51.1013,43,62,234.355729,32.22207,206175.0155,235.443958,29.490321,203599.466,2018-04-18T18:43:43.655159,2018.0,4.0,18.0,18.0,43.0,43.65515900000001,217.30307623874126,-7.298349758434,217.71732564588933,-7.075812396528847,236.22459848361882,28.027589145703462,236.3940609754631,27.584903007138426,236.30932972954102,27.80624607642095,232.0540127786451,38.0,238.0294647692929,23.0,236.14147014103062,27.739376948933376,0.18068846577966308,-0.1678595885103391,-0.06686912748756413,0.7734321527065859,232.4071091930301,38.0,238.1491850255917,23.0,234.58410385808003,32.313046200021894,235.6354549087651,29.566606372312233,236.05376680068719,27.959536044380847,236.229173481374,27.51921785348591,0.0,1000664.0,58226.780427,2018.0,4.0,19.0,18.0,43.0,48.915440000000004,0.20592,291.850481,26.452713,101.689166,25.323391,101.482029,25.400253,0.308657,51.1013,49.716018,-5.7158489999999995,29.199037,112.74293600000001,103.114377,354.380809,1.924131,314.158237,3.717337,2.294455,0.563004,1.002669,28.431694,95.96188599999999,174.73296000000002,3.475517,36.971299,299.655576,47.665197,28.431694,0.617685,0.462582,0.646071,0.469846,0.19835899999999998,0.19050599999999998,0.035789999999999995,0.001231,0.738909,4.32935,0.43424300000000005,0.19835899999999998,0.617685,0.462582,-0.012362999999999999,0.808146,4.295955,3.7694039985832366,-0.3708680208166206,112.74293600000001,4.667113611023735,-4.806302660389666,103.114377,25.17326178707412
268,268,268,268,589013_019,130.0,14,38,12.973,-7,57,24.053,184,132,41,297,2018-04-18T18:44:55.927,2018,4,19,3,44,55.9268,0.28704,100.69071,89.390038,68.531238,33.409544,47.714112,46,90,233.817904,29.797625,197140.7206,234.468246,25.911133,197892.2576,2018-04-18T18:44:46.534842,2018.0,4.0,18.0,18.0,44.0,46.534842,219.36241239702386,-8.11486436327665,219.7054230629693,-7.832013337379018,234.2079257635009,28.616821666486693,234.28273659955013,28.17971049520144,234.24533118152561,28.398266080844067,232.44536831428397,38.0,234.95537734041855,23.0,234.0573284329044,28.36680684111225,0.1906166762212207,-0.18800274862118727,-0.03145923973182363,0.21246162347416164,232.6020106964821,38.0,235.1692352710429,23.0,234.00060102898723,29.828196412787065,234.66535480925663,25.944115992690982,234.02073395974602,28.585498125350483,234.0939229060627,28.148115556874018,100.0,1000668.0,58226.781203,2018.0,4.0,19.0,18.0,44.0,55.9268,0.28704,306.368857,40.133441999999995,68.221762,33.5254,68.531238,33.409544,0.477062,47.714112,46.200555,-22.837462,23.256012,100.69071,89.390038,35.243347,2.97587,291.177095,2.71873,14.938481,0.938831,0.9137790000000001,28.432452,79.541948,144.494011,57.73772099999999,41.121415999999996,325.7689,56.74620899999999,28.432452,0.538141,0.401602,0.660981,0.371205,0.204421,10.097182,0.030805000000000003,0.00605,0.562948,3.0417520000000002,67.113613,0.204421,0.538141,0.401602,-0.29320999999999997,0.955147,24.095692,4.275024469122229,3.0205443086909374,100.69071,1.533446904867253,-3.958154686269223,89.390038,33.56393235365687
269,269,269,269,589013_095,104.5,14,39,33.5673,-8,5,11.468,436,229,341,466,2018-04-18T18:45:33.938,2018,4,19,3,45,33.93776,0.28704,105.195254,93.510074,123.97618500000002,35.184184,50.755017,45,89,232.34051,30.242967,203212.3065,234.886643,26.988349,199641.9156,2018-04-18T18:44:46.534842,2018.0,4.0,18.0,18.0,44.0,46.534842,219.76276045476845,-8.118541651390439,219.9300059617831,-8.076396974402419,233.83374958578239,28.58122114170435,233.94325854368168,28.440039277018016,233.88850406473202,28.51063020936118,226.2720750244088,38.0,238.00678398257224,23.0,233.76892524521327,28.417082033053717,0.15182343484430375,-0.11957881951863668,-0.09354817630746126,0.23730755137888945,226.52799073532597,38.0,238.1628729642815,23.0,232.46765130967086,30.342431417703157,235.0003042619024,27.07726778854945,233.71387933549698,28.48744497504828,233.82397115492972,28.346719091059192,100.0,1000671.0,58226.781642999995,2018.0,4.0,19.0,18.0,45.0,33.93776,0.28704,293.525894,11.424273,124.40566299999999,35.331987,123.97618500000002,35.184184,0.44429399999999997,50.755016999999995,49.337073,-27.980569,18.810878,105.195254,93.510074,129.756757,1.640711,300.72152400000004,3.244925,0.975914,0.029006,0.947607,28.432882,114.121059,357.650376,0.96409,29.146811,297.682398,32.628174,28.432882,0.257703,0.257073,0.185577,0.245852,0.152328,0.016361,0.017092,0.032570999999999996,0.5460010000000001,0.23070700000000002,0.024248,0.152328,0.257703,0.257073,0.015494999999999998,0.561815,-173.635661,-1.9270147190579325,2.3164276389415006,105.195254,2.7083951220263685,-4.557556282025085,93.510074,35.35649685912804
270,270,270,270,589016_095,12.0,14,39,42.9742,-5,29,13.159,460,80,445,470,2018-04-18T18:45:33.938,2018,4,19,3,45,33.93776,0.28704,105.195254,93.510074,123.97618500000002,35.184184,50.755017,45,89,232.34051,30.242967,203212.3065,234.886643,26.988349,199641.9156,2018-04-18T18:44:46.534842,2018.0,4.0,18.0,18.0,44.0,46.534842,219.90946488610905,-5.393666020643686,219.94214782802132,-5.5491663544632495,235.76221792339672,30.47115690895718,235.9118068336639,30.564066370778285,235.83701237853032,30.51761163986773,226.2720750244088,38.0,238.00678398257224,23.0,233.5347009804196,28.716481360675047,2.9231332601328526,-2.3023113981106462,-1.8011302791926866,83.80779044742192,226.0,24.407857083968807,242.0,34.34543458542031,220.57346531561646,21.03744402207034,253.1168536941497,41.25009678278976,233.52884920407055,28.723961447786607,233.5405527567688,28.709001273563423,100.0,1000671.0,58226.781642999995,2018.0,4.0,19.0,18.0,45.0,33.93776,0.28704,293.525894,11.424273,124.40566299999999,35.331987,123.97618500000002,35.184184,0.44429399999999997,50.755016999999995,49.337073,-27.980569,18.810878,105.195254,93.510074,129.756757,1.640711,300.72152400000004,3.244925,0.975914,0.029006,0.947607,28.432882,114.121059,357.650376,0.96409,29.146811,297.682398,32.628174,28.432882,0.257703,0.257073,0.185577,0.245852,0.152328,0.016361,0.017092,0.032570999999999996,0.5460010000000001,0.23070700000000002,0.024248,0.152328,0.257703,0.257073,0.015494999999999998,0.561815,-173.635661,-1.9270147190579325,2.3164276389415006,105.195254,2.7083951220263685,-4.557556282025085,93.510074,35.35649685912804
271,271,271,271,589022_019,129.5,14,34,4.9261,-8,48,23.061,231,170,134,356,2018-04-18T18:44:55.927,2018,4,19,3,44,55.9268,0.28704,100.69071,89.390038,68.531238,33.409544,47.714112,46,90,233.817904,29.797625,197140.7206,234.468246,25.911133,197892.2576,2018-04-18T18:44:46.534842,2018.0,4.0,18.0,18.0,44.0,46.534842,218.39099286750286,-8.911796309590777,218.687653120232,-8.670090466857411,234.42721363100108,27.32091732263802,234.49103179004467,26.94522109500448,234.4591227105229,27.133069208821247,232.44536831428397,38.0,234.95537734041855,23.0,234.26909549064789,27.101271206348084,0.19266929504906047,-0.1900272198749917,-0.031798002473166775,0.14108790580135747,232.6131964899817,38.0,235.16119222494984,23.0,234.00129157412448,29.828311964422234,234.6612038798287,25.943421401335588,234.23764916904582,27.28919675526854,234.30054181225003,26.91334565742763,100.0,1000668.0,58226.781203,2018.0,4.0,19.0,18.0,44.0,55.9268,0.28704,306.368857,40.133441999999995,68.221762,33.5254,68.531238,33.409544,0.477062,47.714112,46.200555,-22.837462,23.256012,100.69071,89.390038,35.243347,2.97587,291.177095,2.71873,14.938481,0.938831,0.9137790000000001,28.432452,79.541948,144.494011,57.73772099999999,41.121415999999996,325.7689,56.74620899999999,28.432452,0.538141,0.401602,0.660981,0.371205,0.204421,10.097182,0.030805000000000003,0.00605,0.562948,3.0417520000000002,67.113613,0.204421,0.538141,0.401602,-0.29320999999999997,0.955147,24.095692,4.275024469122229,3.0205443086909374,100.69071,1.533446904867253,-3.958154686269223,89.390038,33.56393235365687
272,272,272,272,589042_076,81.0,14,25,36.6991,-8,55,6.322,287,269,216,316,2018-04-18T18:45:23.589,2018,4,19,3,45,23.58872,0.25584,105.417865,99.432384,142.65641599999995,63.66455300000001,52.943845,34,81,231.68464900000004,29.752856,206493.2964,235.548355,28.310249,203464.8567,2018-04-18T18:44:46.534842,2018.0,4.0,18.0,18.0,44.0,46.534842,216.30815142669132,-8.902151833467464,216.4416248419621,-8.925061335779437,236.06627442386173,25.635846909308682,236.1905697125119,25.562722459489464,236.12842206818686,25.59928468439908,226.0,31.875355600110154,242.0,25.90137310765334,236.94580902910405,27.78847613100746,2.3368099267550013,0.8173869609171618,2.189191446608387,9.994503862732738,226.0,31.557960184623198,240.5466274827924,23.0,231.2134409204797,28.490828653611718,234.8229190669783,26.367328185785574,236.87928411427725,27.813314798287912,237.01233394393063,27.76363746372705,0.0,1000669.0,58226.781523000005,2018.0,4.0,19.0,18.0,45.0,23.588720000000002,0.25584,299.615886,-20.102572,143.02961299999998,64.35481899999999,142.65641599999998,63.664553000000005,0.8038109999999999,52.943844999999996,51.55219,-27.838340999999996,16.273398,105.41786499999999,99.432384,173.16511699999998,3.192428,299.59494,4.384976999999999,0.692049,0.451118,0.379853,28.432765000000003,178.737433,359.382562,0.575712,21.915124,297.651803,0.536668,28.432765000000003,0.23917399999999997,0.35033000000000003,0.025412999999999998,0.368318,0.684633,0.016861,0.035216000000000004,0.033661,0.8711469999999999,1.1034540000000002,0.02105,0.684633,0.23917399999999997,0.35033000000000003,0.018157,0.009367,-104.290403,-5.838012243147417,0.6997459312736507,105.41786499999999,3.7655631187281315,-6.629953084358874,99.432384,63.644278856825
273,273,273,273,589121_108,151.5,14,33,16.2874,-9,32,40.045,82,122,23,124,2018-04-18T18:46:42.519,2018,4,19,3,46,42.51848,0.16535999999999998,101.747742,95.399961,146.49246200000005,51.361459,62.648366,19,50,231.453896,29.656529,199985.2111,234.025939,28.166634,196218.1739,2018-04-18T18:45:49.415527,2018.0,4.0,18.0,18.0,45.0,49.415527000000004,218.2381258067601,-9.68783296715395,218.37461343655858,-9.442436453841724,234.2526977469363,26.093777975455602,234.32372992612443,26.366310487636824,234.28821383653042,26.230044231546213,226.0,32.81578115127425,242.0,23.547537968714863,235.062272937149,27.56632181576025,1.544281474771841,0.7740591006186719,1.3362775842140382,74.52620166723194,233.44634334260476,23.0,237.35590510202357,38.0,238.230286994515,41.35478224785017,235.4203860756012,30.573902861007323,235.09478259220944,27.54749010395519,235.0297632820886,27.585153527565303,0.0,1000677.0,58226.782437,2018.0,4.0,19.0,18.0,46.0,42.51848,0.16535999999999998,290.550927,-10.650372,146.872082,51.680021999999994,146.49246200000002,51.361459,0.440615,62.648366,61.487326,-24.223933,11.882364,101.747742,95.399961,119.22816399999999,3.425911,15.884448,2.209561,1.374842,0.349693,0.89407,28.433658,158.128717,234.77952799999997,1.612053,33.327969,290.600404,11.329064,28.433658,1.117632,1.4820200000000001,0.666077,1.351588,1.9258119999999999,0.346769,0.133858,0.055338,3.301473,41.789156,0.628938,1.9258119999999999,1.117632,1.4820200000000001,0.13914100000000001,0.19753099999999998,-43.83514,-2.974218642634336,5.315600411087069,101.747742,3.5402893704719034,1.0074391071972324,95.399961,50.89729743170412
274,274,274,274,589122_107,152.0,14,34,48.544,-8,50,46.86,367,200,335,392,2018-04-18T18:46:42.519,2018,4,19,3,46,42.51848,0.16535999999999998,101.747742,95.399961,146.49246200000005,51.361459,62.648366,19,50,231.453896,29.656529,199985.2111,234.025939,28.166634,196218.1739,2018-04-18T18:45:49.415527,2018.0,4.0,18.0,18.0,45.0,49.415527000000004,218.65931587921185,-8.926046341765117,218.73574660421883,-8.784107735405494,234.47573064506844,26.93831907038057,234.5191395664878,27.094377626573426,234.4974351057781,27.01634834847701,226.0,32.81578115127425,242.0,23.547537968714863,234.87788622099885,27.673130623567317,0.7590164740936229,0.3804511152207226,0.6567822750903254,75.46210886570314,233.38025605385607,23.0,237.55262466455815,38.0,238.72180764205075,42.203306634367145,235.5485311108629,30.79512284022031,234.89547838660067,27.662940094260698,234.86029405539702,27.683321152873923,0.0,1000677.0,58226.782437,2018.0,4.0,19.0,18.0,46.0,42.51848,0.16535999999999998,290.550927,-10.650372,146.872082,51.680021999999994,146.49246200000002,51.361459,0.440615,62.648366,61.487326,-24.223933,11.882364,101.747742,95.399961,119.22816399999999,3.425911,15.884448,2.209561,1.374842,0.349693,0.89407,28.433658,158.128717,234.77952799999997,1.612053,33.327969,290.600404,11.329064,28.433658,1.117632,1.4820200000000001,0.666077,1.351588,1.9258119999999999,0.346769,0.133858,0.055338,3.301473,41.789156,0.628938,1.9258119999999999,1.117632,1.4820200000000001,0.13914100000000001,0.19753099999999998,-43.83514,-2.974218642634336,5.315600411087069,101.747742,3.5402893704719034,1.0074391071972324,95.399961,50.89729743170412
275,275,275,275,589126_106,67.5,14,34,28.7136,-5,36,29.923,293,177,230,400,2018-04-18T18:46:42.519,2018,4,19,3,46,42.51848,0.16535999999999998,101.747742,95.399961,146.49246200000005,51.361459,62.648366,19,50,231.453896,29.656529,199985.2111,234.025939,28.166634,196218.1739,2018-04-18T18:45:49.415527,2018.0,4.0,18.0,18.0,45.0,49.415527000000004,218.53613134220862,-5.5734108052682325,218.761373068792,-5.667698911355604,236.88772046289824,29.409705250538806,237.14939965223286,29.325265775466427,237.01856005756562,29.367485513002617,226.0,32.81578115127425,242.0,23.547537968714863,235.74583920088563,27.170355668028666,2.539133303846655,-1.2727208566798822,-2.1971298449739507,12.19820184640974,226.0,32.922989600584444,242.0,27.760058591078447,232.18916882787545,30.925848871552827,235.0832895851172,29.991964758876673,235.62956034045982,27.23771196524229,235.86211806131152,27.102999370815052,0.0,1000677.0,58226.782437,2018.0,4.0,19.0,18.0,46.0,42.51848,0.16535999999999998,290.550927,-10.650372,146.872082,51.680021999999994,146.49246200000002,51.361459,0.440615,62.648366,61.487326,-24.223933,11.882364,101.747742,95.399961,119.22816399999999,3.425911,15.884448,2.209561,1.374842,0.349693,0.89407,28.433658,158.128717,234.77952799999997,1.612053,33.327969,290.600404,11.329064,28.433658,1.117632,1.4820200000000001,0.666077,1.351588,1.9258119999999999,0.346769,0.133858,0.055338,3.301473,41.789156,0.628938,1.9258119999999999,1.117632,1.4820200000000001,0.13914100000000001,0.19753099999999998,-43.83514,-2.974218642634336,5.315600411087069,101.747742,3.5402893704719034,1.0074391071972324,95.399961,50.89729743170412
276,276,276,276,589134_108,99.5,14,30,7.2829,-7,2,17.073,298,52,134,435,2018-04-18T18:46:42.519,2018,4,19,3,46,42.51848,0.16535999999999998,101.747742,95.399961,146.49246200000005,51.361459,62.648366,19,50,231.453896,29.656529,199985.2111,234.025939,28.166634,196218.1739,2018-04-18T18:45:49.415527,2018.0,4.0,18.0,18.0,45.0,49.415527000000004,217.31151412679242,-7.072236854501977,217.71330079368718,-7.009576288607692,236.71079845072362,27.718106224189142,236.99044825178703,27.399563584258786,236.85062335125536,27.558834904223968,226.0,32.81578115127425,242.0,23.547537968714863,236.40455871970505,26.788782374933906,0.8899182846678337,-0.4460646315503141,-0.7700525292900622,18.637759440661355,227.6842846075869,38.0,240.85284193752025,23.0,232.8671684332071,32.09629654665481,234.93671304124538,29.738926005387487,236.2307834576297,26.889444336685585,236.57833398178025,26.68812041318227,0.0,1000677.0,58226.782437,2018.0,4.0,19.0,18.0,46.0,42.51848,0.16535999999999998,290.550927,-10.650372,146.872082,51.680021999999994,146.49246200000002,51.361459,0.440615,62.648366,61.487326,-24.223933,11.882364,101.747742,95.399961,119.22816399999999,3.425911,15.884448,2.209561,1.374842,0.349693,0.89407,28.433658,158.128717,234.77952799999997,1.612053,33.327969,290.600404,11.329064,28.433658,1.117632,1.4820200000000001,0.666077,1.351588,1.9258119999999999,0.346769,0.133858,0.055338,3.301473,41.789156,0.628938,1.9258119999999999,1.117632,1.4820200000000001,0.13914100000000001,0.19753099999999998,-43.83514,-2.974218642634336,5.315600411087069,101.747742,3.5402893704719034,1.0074391071972324,95.399961,50.89729743170412
