ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],X,Y,x_1,x_2,utc_mu,year_jst_mu,month_jst_mu,day_jst_mu,hour_jst_mu,minute_jst_mu,second_jst_mu,duration,alt_start,alt_end,azimuth_radiant,zenith_radiant,velocity,n_data_interferometry,n_data_doppler,azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso
574216_031,80,9,41,27.4633,-5,23,52.525,446,17,376,493,2018-04-18T13:49:43.170,2018,4,18,22,49,43.17024,0.2652,103.879729,98.480951,136.553764,56.657164,36.64609,37,83,235.003544,30.912589,197018.6837,237.717374,29.379543,195263.5896
574413_083,124.5,9,46,14.5861,-7,53,5.086,124,83,22,220,2018-04-18T13:52:28.312,2018,4,18,22,52,28.31184,0.33696,95.136147,91.56807,63.560103,70.90988,32.247288,51,100,233.986306,28.32444,194747.3779,234.562275,26.044799,201709.7815
574422_084,124.5,9,41,40.952,-8,39,21.092,90,60,22,156,2018-04-18T13:52:28.312,2018,4,18,22,52,28.31184,0.33696,95.136147,91.56807,63.560103,70.90988,32.247288,51,100,233.986306,28.32444,194747.3779,234.562275,26.044799,201709.7815
574431_084,124.5,9,37,7.2386,-9,25,8.418,58,36,13,95,2018-04-18T13:52:28.312,2018,4,18,22,52,28.31184,0.33696,95.136147,91.56807,63.560103,70.90988,32.247288,51,100,233.986306,28.32444,194747.3779,234.562275,26.044799,201709.7815
574511_068,79,9,47,50.2422,-9,43,36.373,422,261,343,488,2018-04-18T13:53:24.154,2018,4,18,22,53,24.1536,0.33072,97.382383,91.274845,142.359503,57.104005,34.18826,56,104,231.908296,27.640799,203497.8169,234.89223,26.114534,200611.6214
574511_069,77.5,9,46,29.8085,-9,39,23.52,172,209,34,310,2018-04-18T13:53:24.154,2018,4,18,22,53,24.1536,0.33072,97.382383,91.274845,142.359503,57.104005,34.18826,56,104,231.908296,27.640799,203497.8169,234.89223,26.114534,200611.6214
574511_070,78,9,46,55.5545,-9,40,21.947,252,221,30,460,2018-04-18T13:53:24.154,2018,4,18,22,53,24.1536,0.33072,97.382383,91.274845,142.359503,57.104005,34.18826,56,104,231.908296,27.640799,203497.8169,234.89223,26.114534,200611.6214
574521_069,78,9,42,52.7319,-9,27,57.748,314,66,161,471,2018-04-18T13:53:24.154,2018,4,18,22,53,24.1536,0.33072,97.382383,91.274845,142.359503,57.104005,34.18826,56,104,231.908296,27.640799,203497.8169,234.89223,26.114534,200611.6214
574521_070,78,9,41,35.8371,-9,23,52.856,75,15,18,126,2018-04-18T13:53:24.154,2018,4,18,22,53,24.1536,0.33072,97.382383,91.274845,142.359503,57.104005,34.18826,56,104,231.908296,27.640799,203497.8169,234.89223,26.114534,200611.6214
574534_069,130,9,38,34.5451,-7,10,7.296,320,153,281,353,2018-04-18T13:53:24.154,2018,4,18,22,53,24.1536,0.33072,97.382383,91.274845,142.359503,57.104005,34.18826,56,104,231.908296,27.640799,203497.8169,234.89223,26.114534,200611.6214
574542_069,78,9,32,41.0605,-8,54,59.707,47,271,8,73,2018-04-18T13:53:24.154,2018,4,18,22,53,24.1536,0.33072,97.382383,91.274845,142.359503,57.104005,34.18826,56,104,231.908296,27.640799,203497.8169,234.89223,26.114534,200611.6214
574932_008,113.5,9,37,45.5236,-8,41,8.286,173,88,17,320,2018-04-18T13:57:05.430,2018,4,18,22,57,5.43024,0.40248,88.530159,83.220348,129.285349,53.914396,22.676573,68,98,232.472043,26.337574,193265.6659,234.799651,24.703811,192356.9683
575431_053,84,9,44,13.6065,-9,43,14.403,168,264,64,277,2018-04-18T14:02:55.386,2018,4,18,23,2,55.3864,0.32136,93.840871,87.686737,151.674516,49.459437,31.271178,57,82,232.155047,27.065156,199840.0201,234.489561,25.649463,195922.8927
575441_054,83.5,9,40,16.1533,-9,36,8.024,247,182,60,460,2018-04-18T14:02:55.386,2018,4,18,23,2,55.3864,0.32136,93.840871,87.686737,151.674516,49.459437,31.271178,57,82,232.155047,27.065156,199840.0201,234.489561,25.649463,195922.8927
575516_115,83.5,9,53,14.2321,-5,42,38.718,209,256,50,347,2018-04-18T14:04:28.837,2018,4,18,23,4,28.83664,0.30576,101.943445,96.778423,139.477794,41.136052,21.51244,45,92,232.446946,29.315471,202350.371,233.841881,28.015082,199924.7313
575526_116,83.5,9,49,14.3148,-5,36,2.936,275,176,0,500,2018-04-18T14:04:28.837,2018,4,18,23,4,28.83664,0.30576,101.943445,96.778423,139.477794,41.136052,21.51244,45,92,232.446946,29.315471,202350.371,233.841881,28.015082,199924.7313
575913_115,96,9,59,54.0288,-7,56,5.854,239,122,40,400,2018-04-18T14:08:53.500,2018,4,18,23,8,53.5,0.30888,96.084246,92.899141,76.3377,70.799455,32.478218,51,98,233.434391,28.598331,195029.4669,234.630636,26.588315,200946.1644
575923_115,96,9,55,36.4622,-8,2,41.565,235,206,40,450,2018-04-18T14:08:53.500,2018,4,18,23,8,53.5,0.30888,96.084246,92.899141,76.3377,70.799455,32.478218,51,98,233.434391,28.598331,195029.4669,234.630636,26.588315,200946.1644
576013_041,135.5,9,59,40.2491,-7,54,58.704,196,108,110,260,2018-04-18T14:09:18.566,2018,4,18,23,9,18.56608,0.2652,111.536417,109.190478,55.435298,79.536854,48.556364,51,86,234.287392,32.428997,202910.7462,234.428375,29.977079,212385.9846
576022_041,135,9,56,0.2479,-8,50,9.35,329,198,264,384,2018-04-18T14:09:18.566,2018,4,18,23,9,18.56608,0.2652,111.536417,109.190478,55.435298,79.536854,48.556364,51,86,234.287392,32.428997,202910.7462,234.428375,29.977079,212385.9846
576031_041,135.5,9,52,26.8671,-9,43,10.888,486,262,475,494,2018-04-18T14:09:18.566,2018,4,18,23,9,18.56608,0.2652,111.536417,109.190478,55.435298,79.536854,48.556364,51,86,234.287392,32.428997,202910.7462,234.428375,29.977079,212385.9846
576526_116,121.5,10,2,33.38,-5,25,16.436,329,42,290,380,2018-04-18T14:15:24.289,2018,4,18,23,15,24.28936,0.30888,93.779647,87.435571,149.005737,49.164036,31.986363,47,98,231.915092,27.185578,198947.419,234.248009,25.673388,195214.1994
576712_067,90.5,10,6,25.3092,-8,51,30.474,241,214,40,460,2018-04-18T14:17:04.607,2018,4,18,23,17,4.60672,0.468,99.435383,91.433195,162.972156,41.276,23.004577,82,149,231.614375,29.128347,198551.4462,233.797485,27.463575,192366.1972
576722_067,90.5,10,2,9.9806,-8,52,10.624,264,224,70,470,2018-04-18T14:17:04.607,2018,4,18,23,17,4.60672,0.468,99.435383,91.433195,162.972156,41.276,23.004577,82,149,231.614375,29.128347,198551.4462,233.797485,27.463575,192366.1972
